file,function
server/store.crud.test.js,rows
server/disease.store.test.js,loadStoreWithMockDb
server/disease.store.test.js,result
server/disease.store.test.js,runQuery
server/report-persistence.contract.test.js,reportInsertContract
server/metrics.js,metricsMiddleware
server/metrics.js,snapshot
server/phase22.contract.test.js,read
server/index.js,startServer
server/index.js,shutdown
server/index.js,validateProductionEnvironment
server/index.js,createListeningServer
server/workflow.store.js,getWorkflow
server/workflow.store.js,getInbox
server/workflow.store.js,listRecipients
server/workflow.store.js,shareReport
server/workflow.store.js,verifyReport
server/workflow.store.js,getWorkflowForClient
server/workflow.store.js,withHistory
server/workflow.store.js,assertCanView
server/workflow.store.js,assertCanAct
server/workflow.store.js,expectedRecipientRoleForActor
server/workflow.store.js,baseSelect
server/workflow.store.js,mapWorkflow
server/workflow.store.js,mapEvent
server/workflow.store.js,insertEvent
server/xlsx-lite.js,xmlEscape
server/xlsx-lite.js,xmlUnescape
server/xlsx-lite.js,columnName
server/xlsx-lite.js,columnIndex
server/xlsx-lite.js,crc32
server/xlsx-lite.js,u16
server/xlsx-lite.js,u32
server/xlsx-lite.js,zip
server/xlsx-lite.js,makeWorksheet
server/xlsx-lite.js,createWorkbook
server/xlsx-lite.js,unzip
server/xlsx-lite.js,parseWorksheet
server/xlsx-lite.js,parseSharedStrings
server/xlsx-lite.js,readWorkbook
server/canonical-model.js,getCanonicalModel
server/crop-type.store.test.js,loadStoreWithMockDb
server/crop-type.store.test.js,result
server/crop-type.store.test.js,runQuery
previews/auth.js,loadFromStorage
previews/auth.js,saveToStorage
previews/auth.js,clearState
previews/auth.js,getAuthHeaders
previews/auth.js,createError
previews/auth.js,parseJsonSafe
previews/auth.js,redirectTo
previews/auth.js,redirectToLogin
previews/auth.js,loadMe
previews/auth.js,init
previews/auth.js,authAction
previews/auth.js,login
previews/auth.js,register
previews/auth.js,logout
previews/auth.js,fetchWithAuth
previews/auth.js,getUser
previews/auth.js,getToken
previews/auth.js,clear
previews/browser-auth.test.js,createResponse
previews/browser-auth.test.js,loadBrowserAuth
previews/browser-auth.test.js,fetch
previews/admin-reference.js,parseError
previews/workflow-dashboard.js,esc
previews/workflow-dashboard.js,api
previews/workflow-dashboard.js,setMessage
previews/workflow-dashboard.js,loadInbox
previews/workflow-dashboard.js,openWorkflow
previews/workflow-dashboard.js,loadRecipients
previews/workflow-dashboard.js,verify
previews/workflow-dashboard.js,share
previews/workflow-dashboard.js,closeWorkflow
previews/admin-reference.test.js,loadClient
previews/admin-reference.test.js,response
scripts/verify-phase18.js,check
scripts/verify-phase8.js,check
scripts/verify-phase8.js,read
scripts/verify-phase8.js,exists
scripts/verify-phase19.js,check
scripts/verify-phase23.js,pass
scripts/verify-phase23.js,fail
scripts/verify-phase17.js,check
scripts/verify-phase3.js,check
scripts/verify-phase10.js,check
scripts/verify-phase14.js,check
scripts/verify-phase9.js,check
scripts/verify-phase9.js,read
scripts/verify-phase9.js,exists
scripts/verify-phase6.js,check
scripts/verify-phase12.js,check
scripts/verify-phase12.js,exists
scripts/verify-phase12.js,text
scripts/verify-phase4.js,check
scripts/kill-port.js,killPort
scripts/verify-phase1.js,check
scripts/verify-phase5.js,check
scripts/verify-phase13.js,check
scripts/verify-phase13.js,exists
scripts/verify-phase13.js,text
scripts/verify-phase15.js,check
scripts/verify-phase21.js,expect
scripts/verify-phase11.js,check
scripts/verify-phase11.js,exists
scripts/verify-phase11.js,text
scripts/verify-phase16.js,check
scripts/verify-phase2.js,read
scripts/verify-phase2.js,check
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,firstDefined
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,locationValues
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,canonicalFromReport
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,canonicalHeaders
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,canonicalRow
Scout-Report-Reviewed-2026-08-14/server/canonical-report.js,canonicalRecordFromRow
Scout-Report-Reviewed-2026-08-14/server/app.js,preview
Scout-Report-Reviewed-2026-08-14/server/app.js,createApp
Scout-Report-Reviewed-2026-08-14/server/db-store.js,getReference
Scout-Report-Reviewed-2026-08-14/server/db-store.js,getCropVarieties
Scout-Report-Reviewed-2026-08-14/server/db-store.js,getReports
Scout-Report-Reviewed-2026-08-14/server/db-store.js,findReport
Scout-Report-Reviewed-2026-08-14/server/db-store.js,saveReport
Scout-Report-Reviewed-2026-08-14/server/db-store.js,updateReport
Scout-Report-Reviewed-2026-08-14/server/db-store.js,deleteReport
Scout-Report-Reviewed-2026-08-14/server/db-store.js,nextReportId
Scout-Report-Reviewed-2026-08-14/server/db-store.js,addPestObservation
Scout-Report-Reviewed-2026-08-14/server/db-store.js,addDiseaseObservation
Scout-Report-Reviewed-2026-08-14/server/db-store.js,getStats
Scout-Report-Reviewed-2026-08-14/server/db-store.js,enrichReportRow
Scout-Report-Reviewed-2026-08-14/server/db-store.js,deriveStatus
Scout-Report-Reviewed-2026-08-14/server/admin-users.controller.test.js,clearModules
Scout-Report-Reviewed-2026-08-14/server/admin-users.controller.test.js,fake
Scout-Report-Reviewed-2026-08-14/server/admin-crop-variety.controller.test.js,loadController
Scout-Report-Reviewed-2026-08-14/server/admin-crop-variety.controller.test.js,response
Scout-Report-Reviewed-2026-08-14/server/pest.store.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/pest.store.test.js,result
Scout-Report-Reviewed-2026-08-14/server/pest.store.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/admin-pest.controller.test.js,loadController
Scout-Report-Reviewed-2026-08-14/server/admin-pest.controller.test.js,response
Scout-Report-Reviewed-2026-08-14/server/app.test.js,loadAppWithMocks
Scout-Report-Reviewed-2026-08-14/server/app.test.js,fakeModule
Scout-Report-Reviewed-2026-08-14/server/app.test.js,request
Scout-Report-Reviewed-2026-08-14/server/crop-variety.store.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/crop-variety.store.test.js,result
Scout-Report-Reviewed-2026-08-14/server/crop-variety.store.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/store.js,db
Scout-Report-Reviewed-2026-08-14/server/store.js,getDiseasesAdmin
Scout-Report-Reviewed-2026-08-14/server/store.js,findDisease
Scout-Report-Reviewed-2026-08-14/server/store.js,createDisease
Scout-Report-Reviewed-2026-08-14/server/store.js,updateDisease
Scout-Report-Reviewed-2026-08-14/server/store.js,deleteDisease
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeDiseaseInput
Scout-Report-Reviewed-2026-08-14/server/store.js,getPestsAdmin
Scout-Report-Reviewed-2026-08-14/server/store.js,findPest
Scout-Report-Reviewed-2026-08-14/server/store.js,createPest
Scout-Report-Reviewed-2026-08-14/server/store.js,updatePest
Scout-Report-Reviewed-2026-08-14/server/store.js,deletePest
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizePestInput
Scout-Report-Reviewed-2026-08-14/server/store.js,getCropTypesAdmin
Scout-Report-Reviewed-2026-08-14/server/store.js,findCropType
Scout-Report-Reviewed-2026-08-14/server/store.js,createCropType
Scout-Report-Reviewed-2026-08-14/server/store.js,updateCropType
Scout-Report-Reviewed-2026-08-14/server/store.js,deleteCropType
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeCropTypeInput
Scout-Report-Reviewed-2026-08-14/server/store.js,getFarms
Scout-Report-Reviewed-2026-08-14/server/store.js,findFarm
Scout-Report-Reviewed-2026-08-14/server/store.js,createFarm
Scout-Report-Reviewed-2026-08-14/server/store.js,updateFarm
Scout-Report-Reviewed-2026-08-14/server/store.js,deleteFarm
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeFarmInput
Scout-Report-Reviewed-2026-08-14/server/store.js,getReference
Scout-Report-Reviewed-2026-08-14/server/store.js,getCropVarieties
Scout-Report-Reviewed-2026-08-14/server/store.js,getCropVarietiesAdmin
Scout-Report-Reviewed-2026-08-14/server/store.js,findCropVariety
Scout-Report-Reviewed-2026-08-14/server/store.js,createCropVariety
Scout-Report-Reviewed-2026-08-14/server/store.js,updateCropVariety
Scout-Report-Reviewed-2026-08-14/server/store.js,deleteCropVariety
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeParentCropTypeId
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeVarietyId
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeCropVarietyInput
Scout-Report-Reviewed-2026-08-14/server/store.js,getReports
Scout-Report-Reviewed-2026-08-14/server/store.js,findReport
Scout-Report-Reviewed-2026-08-14/server/store.js,saveReport
Scout-Report-Reviewed-2026-08-14/server/store.js,updateReport
Scout-Report-Reviewed-2026-08-14/server/store.js,deleteReport
Scout-Report-Reviewed-2026-08-14/server/store.js,nextReportId
Scout-Report-Reviewed-2026-08-14/server/store.js,addPestObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,addDiseaseObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,getStats
Scout-Report-Reviewed-2026-08-14/server/store.js,buildAccessClause
Scout-Report-Reviewed-2026-08-14/server/store.js,buildWhereClause
Scout-Report-Reviewed-2026-08-14/server/store.js,canAccessReport
Scout-Report-Reviewed-2026-08-14/server/store.js,buildReportFilters
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizePagination
Scout-Report-Reviewed-2026-08-14/server/store.js,withStoreErrors
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeDbError
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeReportInput
Scout-Report-Reviewed-2026-08-14/server/store.js,resolveFarm
Scout-Report-Reviewed-2026-08-14/server/store.js,resolveCropType
Scout-Report-Reviewed-2026-08-14/server/store.js,assertCropVariety
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeObservationArray
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizePestObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeDiseaseObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,resolveReferenceName
Scout-Report-Reviewed-2026-08-14/server/store.js,insertPestObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,insertDiseaseObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,refreshReportStatus
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeUpdateValue
Scout-Report-Reviewed-2026-08-14/server/store.js,deriveStatus
Scout-Report-Reviewed-2026-08-14/server/store.js,enrichReportRow
Scout-Report-Reviewed-2026-08-14/server/store.js,enrichPestObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,enrichDiseaseObservation
Scout-Report-Reviewed-2026-08-14/server/store.js,parseJsonbArray
Scout-Report-Reviewed-2026-08-14/server/store.js,assertNonEmptyString
Scout-Report-Reviewed-2026-08-14/server/store.js,optionalString
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeSeverity
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeDate
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeInteger
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeOptionalInteger
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeOptionalNumber
Scout-Report-Reviewed-2026-08-14/server/store.js,normalizeLocation
Scout-Report-Reviewed-2026-08-14/server/store.js,formatDate
Scout-Report-Reviewed-2026-08-14/server/store.js,formatTimestamp
Scout-Report-Reviewed-2026-08-14/server/store.js,toNullableNumber
Scout-Report-Reviewed-2026-08-14/server/store.js,getIsoWeek
Scout-Report-Reviewed-2026-08-14/server/store.js,makeObservationId
Scout-Report-Reviewed-2026-08-14/server/admin-reference.controller.test.js,loadController
Scout-Report-Reviewed-2026-08-14/server/admin-reference.controller.test.js,response
Scout-Report-Reviewed-2026-08-14/server/admin-crop-type.controller.test.js,loadController
Scout-Report-Reviewed-2026-08-14/server/admin-crop-type.controller.test.js,response
Scout-Report-Reviewed-2026-08-14/server/dashboard.js,snapshot
Scout-Report-Reviewed-2026-08-14/server/db.js,query
Scout-Report-Reviewed-2026-08-14/server/db.js,transaction
Scout-Report-Reviewed-2026-08-14/server/db.js,testConnection
Scout-Report-Reviewed-2026-08-14/server/db.js,getHealth
Scout-Report-Reviewed-2026-08-14/server/db.js,close
Scout-Report-Reviewed-2026-08-14/server/workflow.js,canShare
Scout-Report-Reviewed-2026-08-14/server/workflow.js,nextStageAfterShare
Scout-Report-Reviewed-2026-08-14/server/workflow.js,verifyTransition
Scout-Report-Reviewed-2026-08-14/server/workflow.js,expectedVerifierRole
Scout-Report-Reviewed-2026-08-14/server/workflow.js,expectedRecipientRole
Scout-Report-Reviewed-2026-08-14/server/workflow.js,roleLabel
Scout-Report-Reviewed-2026-08-14/server/canonical-observations.js,domain
Scout-Report-Reviewed-2026-08-14/server/canonical-observations.js,validatePayload
Scout-Report-Reviewed-2026-08-14/server/canonical-observations.js,insertObservation
Scout-Report-Reviewed-2026-08-14/server/canonical-observations.js,listObservations
Scout-Report-Reviewed-2026-08-14/server/canonical-observations.js,fullReport
Scout-Report-Reviewed-2026-08-14/server/auth.js,registerUser
Scout-Report-Reviewed-2026-08-14/server/auth.js,loginUser
Scout-Report-Reviewed-2026-08-14/server/auth.js,logoutSession
Scout-Report-Reviewed-2026-08-14/server/auth.js,getUserForToken
Scout-Report-Reviewed-2026-08-14/server/auth.js,getUserById
Scout-Report-Reviewed-2026-08-14/server/auth.js,authenticate
Scout-Report-Reviewed-2026-08-14/server/auth.js,authorizeRoles
Scout-Report-Reviewed-2026-08-14/server/auth.js,extractToken
Scout-Report-Reviewed-2026-08-14/server/auth.js,createSession
Scout-Report-Reviewed-2026-08-14/server/auth.js,signAccessToken
Scout-Report-Reviewed-2026-08-14/server/auth.js,signJwt
Scout-Report-Reviewed-2026-08-14/server/auth.js,verifyAccessToken
Scout-Report-Reviewed-2026-08-14/server/auth.js,hashPassword
Scout-Report-Reviewed-2026-08-14/server/auth.js,verifyPassword
Scout-Report-Reviewed-2026-08-14/server/auth.js,pbkdf2
Scout-Report-Reviewed-2026-08-14/server/auth.js,normalizeRegistration
Scout-Report-Reviewed-2026-08-14/server/auth.js,validatePassword
Scout-Report-Reviewed-2026-08-14/server/auth.js,normalizeEmail
Scout-Report-Reviewed-2026-08-14/server/auth.js,resolveRegistrationRole
Scout-Report-Reviewed-2026-08-14/server/auth.js,sanitizeUser
Scout-Report-Reviewed-2026-08-14/server/auth.js,formatTimestamp
Scout-Report-Reviewed-2026-08-14/server/auth.js,isValidDate
Scout-Report-Reviewed-2026-08-14/server/auth.js,signJwtInput
Scout-Report-Reviewed-2026-08-14/server/auth.js,getJwtSecret
Scout-Report-Reviewed-2026-08-14/server/auth.js,encodeBase64UrlJson
Scout-Report-Reviewed-2026-08-14/server/auth.js,decodeBase64UrlJson
Scout-Report-Reviewed-2026-08-14/server/auth.js,safeEqual
Scout-Report-Reviewed-2026-08-14/server/auth.js,assertSessionId
Scout-Report-Reviewed-2026-08-14/server/auth.js,withAuthErrors
Scout-Report-Reviewed-2026-08-14/server/farm.store.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/farm.store.test.js,result
Scout-Report-Reviewed-2026-08-14/server/farm.store.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/auth.test.js,loadAuthWithMockDb
Scout-Report-Reviewed-2026-08-14/server/auth.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/auth.test.js,result
Scout-Report-Reviewed-2026-08-14/server/auth.test.js,rows
Scout-Report-Reviewed-2026-08-14/server/auth-regression.test.js,loadPageAuth
Scout-Report-Reviewed-2026-08-14/server/auth-regression.test.js,req
Scout-Report-Reviewed-2026-08-14/server/auth-regression.test.js,response
Scout-Report-Reviewed-2026-08-14/server/admin-disease.controller.test.js,loadController
Scout-Report-Reviewed-2026-08-14/server/admin-disease.controller.test.js,response
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,checklistStageForWorkflow
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,ensureChecklist
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,getChecklist
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,updateChecklist
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,assertChecklistComplete
Scout-Report-Reviewed-2026-08-14/server/verification-checklist.js,mapItem
Scout-Report-Reviewed-2026-08-14/server/store.crud.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/store.crud.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/store.crud.test.js,result
Scout-Report-Reviewed-2026-08-14/server/store.crud.test.js,rows
Scout-Report-Reviewed-2026-08-14/server/disease.store.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/disease.store.test.js,result
Scout-Report-Reviewed-2026-08-14/server/disease.store.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/server/metrics.js,metricsMiddleware
Scout-Report-Reviewed-2026-08-14/server/metrics.js,snapshot
Scout-Report-Reviewed-2026-08-14/server/phase22.contract.test.js,read
Scout-Report-Reviewed-2026-08-14/server/index.js,startServer
Scout-Report-Reviewed-2026-08-14/server/index.js,shutdown
Scout-Report-Reviewed-2026-08-14/server/index.js,validateProductionEnvironment
Scout-Report-Reviewed-2026-08-14/server/index.js,createListeningServer
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,getWorkflow
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,getInbox
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,listRecipients
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,shareReport
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,verifyReport
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,getWorkflowForClient
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,withHistory
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,assertCanView
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,assertCanAct
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,expectedRecipientRoleForActor
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,baseSelect
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,mapWorkflow
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,mapEvent
Scout-Report-Reviewed-2026-08-14/server/workflow.store.js,insertEvent
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,xmlEscape
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,xmlUnescape
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,columnName
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,columnIndex
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,crc32
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,u16
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,u32
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,zip
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,makeWorksheet
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,createWorkbook
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,unzip
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,parseWorksheet
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,parseSharedStrings
Scout-Report-Reviewed-2026-08-14/server/xlsx-lite.js,readWorkbook
Scout-Report-Reviewed-2026-08-14/server/canonical-model.js,getCanonicalModel
Scout-Report-Reviewed-2026-08-14/server/crop-type.store.test.js,loadStoreWithMockDb
Scout-Report-Reviewed-2026-08-14/server/crop-type.store.test.js,result
Scout-Report-Reviewed-2026-08-14/server/crop-type.store.test.js,runQuery
Scout-Report-Reviewed-2026-08-14/previews/auth.js,loadFromStorage
Scout-Report-Reviewed-2026-08-14/previews/auth.js,saveToStorage
Scout-Report-Reviewed-2026-08-14/previews/auth.js,clearState
Scout-Report-Reviewed-2026-08-14/previews/auth.js,getAuthHeaders
Scout-Report-Reviewed-2026-08-14/previews/auth.js,createError
Scout-Report-Reviewed-2026-08-14/previews/auth.js,parseJsonSafe
Scout-Report-Reviewed-2026-08-14/previews/auth.js,redirectTo
Scout-Report-Reviewed-2026-08-14/previews/auth.js,redirectToLogin
Scout-Report-Reviewed-2026-08-14/previews/auth.js,loadMe
Scout-Report-Reviewed-2026-08-14/previews/auth.js,init
Scout-Report-Reviewed-2026-08-14/previews/auth.js,authAction
Scout-Report-Reviewed-2026-08-14/previews/auth.js,login
Scout-Report-Reviewed-2026-08-14/previews/auth.js,register
Scout-Report-Reviewed-2026-08-14/previews/auth.js,logout
Scout-Report-Reviewed-2026-08-14/previews/auth.js,fetchWithAuth
Scout-Report-Reviewed-2026-08-14/previews/auth.js,getUser
Scout-Report-Reviewed-2026-08-14/previews/auth.js,getToken
Scout-Report-Reviewed-2026-08-14/previews/auth.js,clear
Scout-Report-Reviewed-2026-08-14/previews/browser-auth.test.js,createResponse
Scout-Report-Reviewed-2026-08-14/previews/browser-auth.test.js,loadBrowserAuth
Scout-Report-Reviewed-2026-08-14/previews/browser-auth.test.js,fetch
Scout-Report-Reviewed-2026-08-14/previews/admin-reference.js,parseError
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,esc
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,api
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,setMessage
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,loadInbox
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,openWorkflow
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,loadRecipients
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,verify
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,share
Scout-Report-Reviewed-2026-08-14/previews/workflow-dashboard.js,closeWorkflow
Scout-Report-Reviewed-2026-08-14/previews/admin-reference.test.js,loadClient
Scout-Report-Reviewed-2026-08-14/previews/admin-reference.test.js,response
Scout-Report-Reviewed-2026-08-14/scripts/verify-phase18.js,check
Scout-Report-Reviewed-2026-08-14/scripts/verify-phase8.js,check
Scout-Report-Reviewed-2026-08-14/scripts/verify-phase8.js,read
Scout-Report-Reviewed-2026-08-14/scripts/verify-phase8.js,exists
