crop_type,variety
Columnea,77400013
Columnea,77400014
Coprosma,Coprosma
Coprosma,77650001
Coprosma,77650002
Coprosma,77650003
Coprosma,77700001
Coprosma,Glowing Endez
Cotoneaster,Dammeri
Cotoneaster,Dammeri Major
Cotyledon,77070001
Cotyledon,77070002
Cotyledon,77070003
Cotyledon,77070004
Cotyledon,ladysmithiensis
Cotyledon,ladysmithiensis Lemon Stripe
Cotyledon,ladysmithiensis variegata
Cotyledon,orbiculata
Cotyledon,orbiculata Bright Future
Cotyledon,orbiculata Champ
Cotyledon,orbiculata Clear Morning
Cotyledon,orbiculata Cute Baby
Cotyledon,orbiculata Dancing Queen
Cotyledon,orbiculata Evergreen
Cotyledon,orbiculata Fighter
Cotyledon,orbiculata Forever Cute
Cotyledon,orbiculata Good Choice
Cotyledon,orbiculata Happy Bride
Cotyledon,orbiculata Happy Day
Cotyledon,orbiculata Happy Mama
Cotyledon,orbiculata Higginsae
Cotyledon,orbiculata Hunter
Cotyledon,orbiculata Little Queeny
Cotyledon,orbiculata Lucky
Cotyledon,orbiculata New Chance
Cotyledon,orbiculata Smart Blonde
Cotyledon,orbiculata Sunny Smile
Cotyledon,orbiculata Sunrise
Cotyledon,orbiculata Surprise
Cotyledon,orbiculata Sweet Kiss
Cotyledon,orbiculata Sweet Love
Cotyledon,orbiculata Takbok
Cotyledon,orbiculata Tall Beauty
Cotyledon,orbiculata Tiny Wonder
Cotyledon,orbiculata Warrior
Cotyledon,orbiculata Winner
Cotyledon,orbiculata Wonderful
Cotyledon,papillaris Choco Line
Cotyledon,pendens
Cotyledon,undulata variegata
Crassula,77080001
Crassula,77080002
Crassula,77080003
Crassula,77080004
Crassula,77080005
Crassula,77080006
Crassula,77080007
Crassula,77080008
Crassula,77080009
Crassula,77080010
Crassula,77080011
Crassula,77080012
Crassula,77080013
Crassula,77080014
Crassula,77080015
Crassula,77080016
Crassula,77080017
Crassula,77080018
Crassula,77080019
Crassula,77080020
Crassula,77080021
Crassula,77080022
Crassula,77080023
Crassula,77080024
Crassula,77080025
Crassula,77080026
Crassula,77080027
Crassula,77080028
Crassula,77080029
Crassula,77080030
Crassula,77080031
Crassula,77080032
Crassula,77080033
Crassula,alba Garnet Lotus
Crassula,alba Green Lotus
Crassula,arborescens
Crassula,arborescens subsp. undulatifolia
Crassula,barklyi Ivory Pagoda
Crassula,capitella Ben
Crassula,capitella Campfire
Crassula,capitella subsp. thyrsiflora
Crassula,ciliata
Crassula,cordata
Crassula,cultrata
Crassula,deceptor Frosty
Crassula,deceptor Kimnachi
Crassula,deceptor cv Arta
Crassula,dependens
Crassula,exilis schmidtii Alpha
Crassula,exilis schmidtii Epsilon
Crassula,marginalis
Crassula,mesembryanthoides Tarantula
Crassula,mesembryanthoides cv Tenelli
Crassula,multicava variegata
Crassula,muscosa cv Princess Pine
Crassula,nudicaulis var. plathyphylla
Crassula,nudicaulis var. plathyphylla Burgundy
Crassula,orbicularis cv Rosularis
Crassula,ovata (Large)
Crassula,ovata (Medium)
Crassula,ovata Compact
Crassula,ovata cv Gandalf
Crassula,ovata cv Horntree
Crassula,ovata cv Horntree Tricolor
Crassula,ovata cv Minor (Large)
Crassula,ovata cv Minor (Medium)
Crassula,ovata cv New Sunset
Crassula,ovata cv Sunset
Crassula,ovata variegata
Crassula,perfoliata Boracha
Crassula,perfoliata cv justi-corderoyi
Crassula,perfoliata var Lola Lopez
Crassula,perfoliata var Talisman
Crassula,perfoliata var minor
Crassula,perforata
Crassula,perforata Grey
Crassula,perforata Starshine
Crassula,perforata Variegata
Crassula,portulacea Hobbit
Crassula,pubescens subsp. Radicans
Crassula,pyramidalis
Crassula,pyramidalis cv Congesta
Crassula,pyramidalis cv Spiralis
Crassula,rogersii
Crassula,rupestris Baby Necklace
Crassula,rupestris Hottentot
Crassula,rupestris cv Springtime
Crassula,rupestris subs. Marnieriana minor
Crassula,socialis
Crassula,swaziensis variegata
Crassula,tomentosa
Crassula,volkensii variegata
Crassula,Petiolata
Crassula,Imbricata
Cryptanthus,bivittatus Red
Cyperus,papyrus Green Gold
Dahlia,1003-02-23
Dahlia,1004-03-23
Dahlia,1006-03-23
Dahlia,1006-04-23
Dahlia,1009-01-23
Dahlia,1009-02-23
Dahlia,1010-01-23
Dahlia,1010-02-23
Dahlia,1016-01-23
Dahlia,1021-02-23
Dahlia,1021-05-23
Dahlia,1023-03-23
Dahlia,1024-05-23
Dahlia,1028-01-23
Dahlia,1028-02-23
Dahlia,1030-01-23
Dahlia,1031-04-23
Dahlia,1031-05-23
Dahlia,1032-01-23
Dahlia,1033-01-23
Dahlia,1034-01-23
Dahlia,1039-02-23
Dahlia,1041-01-23
Dahlia,1046-01-23
Dahlia,1047-01-23
Dahlia,1053-01-23
Dahlia,1053-02-23
Dahlia,1053-04-23
Dahlia,1054-01-23
Dahlia,1055-02-24
Dahlia,1055-03-24
Dahlia,1056-01-23
Dahlia,1057-01-23
Dahlia,1112-03-24
Dahlia,122-01-25
Dahlia,1245-01-24
Dahlia,1252-01-24
Dahlia,1296-01-24
Dahlia,1327-01-24
Dahlia,1327-02-25
Dahlia,1348-01-25
Dahlia,1352-01-25
Dahlia,1352-02-25
Dahlia,1447-02-25
Dahlia,1526-01-24
Dahlia,1540-01-25
Dahlia,1540-02-25
Dahlia,1574-01-24
Dahlia,1578-01-25
Dahlia,1582-01-24
Dahlia,1627-01-25
Dahlia,1641-05-24
Dahlia,1642-03-24
Dahlia,1684-01-24
Dahlia,1736-01-24
Dahlia,1747-01-24
Dahlia,1764-02-25
Dahlia,1772-01-24
Dahlia,1777-01-25
Dahlia,1779-01-25
Dahlia,1807-01-24
Dahlia,1807-02-24
Dahlia,1844-01-25
Dahlia,1866-02-25
Dahlia,1866-03-25
Dahlia,1878-01-25
Dahlia,1878-02-25
Dahlia,1895-01-25
Dahlia,787
Dahlia,31436
Dahlia,41298
Dahlia,45315
Dahlia,46046
Dahlia,204-02-23
Dahlia,54112
Dahlia,54141
Dahlia,54812
Dahlia,58099
Dahlia,58130
Dahlia,59925
Dahlia,94258
Dahlia,216-01-24
Dahlia,112185
Dahlia,112213
Dahlia,114742
Dahlia,120586
Dahlia,120614
Dahlia,226-02-25
Dahlia,132608
Dahlia,132639
Dahlia,132973
Dahlia,140278
Dahlia,140644
Dahlia,152362
Dahlia,158905
Dahlia,187030
Dahlia,191503
Dahlia,191837
Dahlia,192143
Dahlia,193604
Dahlia,193969
Dahlia,214423
Dahlia,215154
Dahlia,216615
Dahlia,251-01-23
Dahlia,251-02-23
Dahlia,252-01-23
Dahlia,252-02-23 Yellow
Dahlia,253-01-23
Dahlia,232319
Dahlia,255-01-23
Dahlia,255-02-23 Red
Dahlia,255-03-23
Dahlia,255-04-23
Dahlia,256-01-23
Dahlia,242912
Dahlia,258-01-23
Dahlia,260-01-23 Yellow Orange
Dahlia,262-01-23
Dahlia,262-02-23 Rose
Dahlia,262-02-23 Wit
Dahlia,264-01-23
Dahlia,265-01-23
Dahlia,265-02-23
Dahlia,265-03-23 Light Yellow
Dahlia,266-01-23 Purple
Dahlia,266-02-23
Dahlia,266-03-23
Dahlia,266-04-23
Dahlia,266-05-23
Dahlia,266-06-23
Dahlia,266-08-23 Pink
Dahlia,266-09-23
Dahlia,266-11-23
Dahlia,266-12-23
Dahlia,266-13-23
Dahlia,266-14-23
Dahlia,266-15-23
Dahlia,266-16-23
Dahlia,277975
Dahlia,268-01-23
Dahlia,268-02-23
Dahlia,268-03-23
Dahlia,268-04-23
Dahlia,268-08-23
Dahlia,270-03-25
Dahlia,301350
Dahlia,301715
Dahlia,315594
Dahlia,315625
Dahlia,321073
Dahlia,287-01-25
Dahlia,303-01-23 Red Orange
Dahlia,303-02-23
Dahlia,303-03-23
Dahlia,309-01-25
Dahlia,313-01-23
Dahlia,314-01-23
Dahlia,314-02-23
Dahlia,317-01-23 Orange
Dahlia,317-02-23
Dahlia,332-01-23
Dahlia,332-02-23
Dahlia,334-01-23
Dahlia,334-02-23 Red
Dahlia,334-03-23 Yellow Red
Dahlia,334-04-23
Dahlia,334-09-23
Dahlia,335-01-23
Dahlia,335-02-23
Dahlia,335-03-23
Dahlia,336-01-23 Orange
Dahlia,336-02-23
Dahlia,336-03-23
Dahlia,337-01-23 Red Yellow
Dahlia,337-02-23
Dahlia,340-01-23
Dahlia,342-01-23
Dahlia,342-02-23
Dahlia,349-01-23 Yellow Orange
Dahlia,349-02-23
Dahlia,349-03-23
Dahlia,349-04-23
Dahlia,353-01-23
Dahlia,353-01-25
Dahlia,353-02-23 Red Pink
Dahlia,356-01-23
Dahlia,360-01-23
Dahlia,360-02-23
Dahlia,361-01-23
Dahlia,362-02-23
Dahlia,362-03-23
Dahlia,363-01-23
Dahlia,365-01-23
Dahlia,366-01-23
Dahlia,366-02-23
Dahlia,367-01-23
Dahlia,369-01-23
Dahlia,369-02-23
Dahlia,371-01-23 Pink Yellow
Dahlia,371-02-23
Dahlia,374-01-23
Dahlia,374-02-23
Dahlia,375-01-23
Dahlia,375-02-23
Dahlia,386-01-23
Dahlia,386-02-23
Dahlia,387-01-23
Dahlia,394-01-23 Yellow Red
Dahlia,395-01-23
Dahlia,398-01-23
Dahlia,399-01-23
Dahlia,40-01-25
Dahlia,402-01-23
Dahlia,408-01-23
Dahlia,419-01-23 Red Pink
Dahlia,420-01-23
Dahlia,428-01-23
Dahlia,428-02-23
Dahlia,429-01-23
Dahlia,429-02-23
Dahlia,468-01-23
Dahlia,470-01-23
Dahlia,473-01-23
Dahlia,474-02-25
Dahlia,48-01-24
Dahlia,484-01-25
Dahlia,488-01-23
Dahlia,553-01-25
Dahlia,553-02-25
Dahlia,553-03-25
Dahlia,553-04-25
Dahlia,559-02-25
Dahlia,561-01-25
Dahlia,57-01-25
Dahlia,619-02-25
Dahlia,649-02-25
Dahlia,666-01-25
Dahlia,69-02-24
Dahlia,735-01-25
Dahlia,735-03-25
Dahlia,735-04-25
Dahlia,738-02-25
Dahlia,74041
Dahlia,749-01-25
Dahlia,760-01-25
Dahlia,761-01-25
Dahlia,783-01-24
Dahlia,817-02-23
Dahlia,828-01-24
Dahlia,871-01-23
Dahlia,894-01-23
Dahlia,895-01-25
Dahlia,903-01-24
Dahlia,908-02-24
Dahlia,913-01-25
Dahlia,918-01-25
Dahlia,919-01-25
Dahlia,919-02-25
Dahlia,950-02-25
Dahlia,950-03-25
Dahlia,987-01-24
Dahlia,??
Dahlia,AD18
Dahlia,AD43
Dahlia,AD51
Dahlia,Apartus
Dahlia,Avalanche
Dahlia,Balloon Bicolor
Dahlia,Balloon Bronze
Dahlia,Balloon Burgundy
Dahlia,Balloon Lavender
Dahlia,Balloon Lilac
Dahlia,Balloon Scarlet
Dahlia,Balloon White
Dahlia,Balloon Yellow
Dahlia,Black Princess
Dahlia,DA001
Dahlia,DA002
Dahlia,DA010-1
Dahlia,DA010-2
Dahlia,DA011
Dahlia,DA012
Dahlia,DA013
Dahlia,DA014
Dahlia,DA015
Dahlia,DA016
Dahlia,DA017
Dahlia,DA018
Dahlia,DA019
Dahlia,DA020
Dahlia,DA021
Dahlia,DA022
Dahlia,DA023
Dahlia,DA024
Dahlia,DA025
Dahlia,DA026
Dahlia,DA027
Dahlia,DA028
Dahlia,DA029
Dahlia,DA030
Dahlia,DA031
Dahlia,DA032
Dahlia,DA033
Dahlia,DA034
Dahlia,DA035
Dahlia,DA036
Dahlia,DA037
Dahlia,DA038
Dahlia,DA039
Dahlia,DA040
Dahlia,DAXXX 4100
Dahlia,Dahlicia Apricot
Dahlia,Dahlicia Bicolor Lilac
